ALL abundances NOT listed below differ from solar by  -0.20 dex
 HD142709.ares                                                                  
Teff=4567   log g=4.22   [Fe/H]=-0.30    vt=3.945e-01 vt= 0.39 M/H=-0.20        

Abundance Results for Species Fe I         (input abundance =   7.27)
wavelength        EP     logGF        EW     logRW     abund     del avg
   5197.57      3.23    -2.293      37.4     -5.14      7.30        0.12
   5234.63      3.22    -2.235      23.7     -5.34      6.80       -0.37
   5264.81      3.23    -3.091       6.9     -5.88      6.82       -0.36
   5414.07      3.22    -3.568       3.4     -6.20      6.93       -0.25
   5425.25      3.20    -3.228      22.8     -5.38      7.76        0.58
   5991.38      3.15    -3.539       5.0     -6.08      7.07       -0.11
   6149.25      3.89    -2.719       7.4     -5.92      7.27        0.09
   6247.56      3.89    -2.347       7.8     -5.90      6.93       -0.25
   6416.93      3.89    -2.635      16.1     -5.60      7.72        0.54
   6456.39      3.90    -2.110      22.6     -5.46      7.48        0.30
   6516.09      2.89    -3.279      17.2     -5.58      7.32        0.14
average abundance =  7.18     std. deviation =  0.32     #lines =  16
 No statistics done for E.P. trends
R.W. correlation:  slope =   0.243  intercept =   8.523  corr. coeff. =   0.333
wav. correl.:  slope =   1.515D-04  intercept =   6.349  corr. coeff. =   0.349
